nazwa,szerokosc,dlugosc,wojewodztwo
Namysłów,51.0766,17.7173,opolskie
Narol,50.3488,23.3269,podkarpackie
Nasielsk,52.5922,20.8028,mazowieckie
Nekla,52.3644,17.4124,wielkopolskie
Nidzica,53.3598,20.4259,warmińsko-mazurskie
Niemcza,50.7167,16.8350,dolnośląskie
Niemodlin,50.6423,17.6194,opolskie
Niepołomice,50.0331,20.2164,małopolskie
Nieszawa,52.8341,18.9024,kujawsko-pomorskie
Nisko,50.5185,22.1477,podkarpackie
Nowa Dęba,50.4150,21.7528,podkarpackie
Nowa Ruda,50.5788,16.5024,dolnośląskie
Nowa Sarzyna,50.3204,22.3437,podkarpackie
Nowa Słupia,50.8638,21.0899,świętokrzyskie
Nowa Sól,51.8058,15.7164,lubuskie
Nowe,53.6488,18.7262,kujawsko-pomorskie
Nowe Brzesko,50.1311,20.3744,małopolskie
Nowe Miasteczko,51.6905,15.7306,lubuskie
Nowe Miasto Lubawskie,53.4240,19.5923,warmińsko-mazurskie
Nowe Miasto nad Pilicą,51.6181,20.5814,mazowieckie
Nowe Skalmierzyce,51.7087,17.9917,wielkopolskie
Nowe Warpno,53.7227,14.2881,zachodniopomorskie
Nowogard,53.6682,15.1244,zachodniopomorskie
Nowogrodziec,51.1971,15.3980,dolnośląskie
Nowogród,53.2261,21.8792,podlaskie
Nowogród Bobrzański,51.8012,15.2469,lubuskie
Nowy Dwór Gdański,54.2139,19.1172,pomorskie
Nowy Dwór Mazowiecki,52.4306,20.7164,mazowieckie
Nowy Korczyn,50.2997,20.8081,świętokrzyskie
Nowy Sącz,49.6250,20.6906,małopolskie
Nowy Staw,54.1347,19.0081,pomorskie
Nowy Targ,49.4775,20.0321,małopolskie
Nowy Tomyśl,52.3167,16.1326,wielkopolskie
Nowy Wiśnicz,49.9152,20.4621,małopolskie
Nysa,50.4737,17.3327,opolskie
Oborniki,52.6458,16.8089,wielkopolskie
Oborniki Śląskie,51.2995,16.9140,dolnośląskie
Obrzycko,52.7081,16.5268,wielkopolskie
Odolanów,51.5741,17.6736,wielkopolskie
Ogrodzieniec,50.4514,19.5217,śląskie
Okonek,53.5352,16.8497,wielkopolskie
Olecko,54.0379,22.5027,warmińsko-mazurskie
Olesno,50.8766,18.4218,opolskie
Oleszyce,50.1681,23.0317,podkarpackie
Oleśnica,51.2095,17.3803,dolnośląskie
Oleśnica,50.4505,21.0640,świętokrzyskie
Olkusz,50.2790,19.5600,małopolskie
Olsztyn,53.7789,20.4800,warmińsko-mazurskie
Olsztynek,53.5833,20.2852,warmińsko-mazurskie
Olszyna,51.0671,15.3783,dolnośląskie
Oława,50.9406,17.2987,dolnośląskie
Opalenica,52.3075,16.4131,wielkopolskie
Opatowiec,50.2417,20.7239,świętokrzyskie
Opatów,50.8014,21.4239,świętokrzyskie
Opatówek,51.7395,18.2141,wielkopolskie
Opoczno,51.3761,20.2830,łódzkie
Opole,50.6686,17.9223,opolskie
Opole Lubelskie,51.1473,21.9691,lubelskie
Orneta,54.1164,20.1311,warmińsko-mazurskie
Orzesze,50.1444,18.7761,śląskie
Orzysz,53.8087,21.9465,warmińsko-mazurskie
Osieczna,51.9043,16.6776,wielkopolskie
Osiek,50.5200,21.4428,świętokrzyskie
Ostrołęka,53.0814,21.5725,mazowieckie
Ostroróg,52.6267,16.4508,wielkopolskie
Ostrowiec Świętokrzyski,50.9439,21.3899,świętokrzyskie
Ostróda,53.6995,19.9640,warmińsko-mazurskie
Ostrów Lubelski,51.4946,22.8542,lubelskie
Ostrów Mazowiecka,52.8058,21.8978,mazowieckie
Ostrów Wielkopolski,51.6495,17.8167,wielkopolskie
Ostrzeszów,51.4237,17.9315,wielkopolskie
Ośno Lubuskie,52.4539,14.8711,lubuskie
Oświęcim,50.0380,19.2209,małopolskie
Otmuchów,50.4653,17.1725,opolskie
Otwock,52.1072,21.2656,mazowieckie
Otyń,51.8471,15.7102,lubuskie
Ozimek,50.6788,18.2137,opolskie
Ozorków,51.9622,19.2949,łódzkie
Ożarów,50.8861,21.6652,świętokrzyskie
Ożarów Mazowiecki,52.2104,20.7940,mazowieckie
Pabianice,51.6650,19.3592,łódzkie
Pacanów,50.3998,21.0411,świętokrzyskie
Paczków,50.4643,17.0064,opolskie
Pajęczno,51.1469,18.9950,łódzkie
Pakość,52.8070,18.0877,kujawsko-pomorskie
Parczew,51.6407,22.9001,lubelskie
Pasłęk,54.0653,19.6587,warmińsko-mazurskie
Pasym,53.6504,20.7918,warmińsko-mazurskie
Pelplin,53.9282,18.6975,pomorskie
Pełczyce,53.0439,15.3041,zachodniopomorskie
Piaseczno,52.0697,21.0269,mazowieckie
Piaski,51.1375,22.8484,lubelskie
Piastów,52.1831,20.8417,mazowieckie
Piątek,52.0688,19.4797,łódzkie
Piechowice,50.8498,15.5993,dolnośląskie
Piekary Śląskie,50.3839,18.9447,śląskie
Pieniężno,54.2388,20.1247,warmińsko-mazurskie
Pieńsk,51.2465,15.0456,dolnośląskie
Pierzchnica,50.6974,20.7538,świętokrzyskie
Pieszyce,50.7123,16.5804,dolnośląskie
Pilawa,51.9600,21.5322,mazowieckie
Pilica,50.4677,19.6572,śląskie
Pilzno,49.9783,21.2911,podkarpackie
Piła,53.1476,16.7395,wielkopolskie
Piława Górna,50.6816,16.7540,dolnośląskie
Pińczów,50.5201,20.5266,świętokrzyskie
Pionki,51.4785,21.4526,mazowieckie
Piotrków Kujawski,52.5511,18.4976,kujawsko-pomorskie
Piotrków Trybunalski,51.4111,19.6861,łódzkie
Pisz,53.6300,21.8060,warmińsko-mazurskie
Piwniczna-Zdrój,49.4410,20.7161,małopolskie
Pleszew,51.8963,17.7857,wielkopolskie
Płock,52.5408,19.6897,mazowieckie
Płońsk,52.6222,20.3739,mazowieckie
Płoty,53.8044,15.2682,zachodniopomorskie
Pniewy,52.5079,16.2553,wielkopolskie
Pobiedziska,52.4774,17.2850,wielkopolskie
Poddębice,51.8930,18.9550,łódzkie
Podkowa Leśna,52.1233,20.7275,mazowieckie
Pogorzela,51.8224,17.2304,wielkopolskie
Polanica-Zdrój,50.4032,16.5113,dolnośląskie
Polanów,54.1186,16.6843,zachodniopomorskie
Police,53.5524,14.5721,zachodniopomorskie
Polkowice,51.5033,16.0683,dolnośląskie
Połaniec,50.4325,21.2805,świętokrzyskie
Połczyn-Zdrój,53.7670,16.0909,zachodniopomorskie
Poniatowa,51.1901,22.0675,lubelskie
Poniec,51.7647,16.8066,wielkopolskie
Poręba,50.4886,19.3406,śląskie
Poznań,52.4079,16.9335,wielkopolskie
Prabuty,53.7589,19.1989,pomorskie
Praszka,51.0538,18.4531,opolskie
Prochowice,51.2732,16.3622,dolnośląskie
Proszowice,50.1925,20.2900,małopolskie
Prószków,50.5767,17.8714,opolskie
Pruchnik,49.9061,22.5155,podkarpackie
Prudnik,50.3215,17.5806,opolskie
Prusice,51.3710,16.9603,dolnośląskie
Pruszcz Gdański,54.2623,18.6362,pomorskie
Pruszków,52.1700,20.8050,mazowieckie
Przasnysz,53.0217,20.8821,mazowieckie
Przecław,50.1943,21.4798,podkarpackie
Przedbórz,51.0875,19.8739,łódzkie
Przedecz,52.3333,18.9007,wielkopolskie
Przemków,51.5281,15.7883,dolnośląskie
Przemyśl,49.7823,22.7751,podkarpackie
Przeworsk,50.0587,22.4937,podkarpackie
Przysucha,51.3587,20.6284,mazowieckie
Pszczyna,49.9780,18.9417,śląskie
Pszów,50.0375,18.3961,śląskie
Puck,54.7181,18.4092,pomorskie
Puławy,51.4167,21.9677,lubelskie
Pułtusk,52.7040,21.0872,mazowieckie
Puszczykowo,52.2847,16.8544,wielkopolskie
Pyrzyce,53.1458,14.8925,zachodniopomorskie
Pyskowice,50.3978,18.6275,śląskie
Pyzdry,52.1671,17.6869,wielkopolskie
Rabka-Zdrój,49.6100,19.9528,małopolskie
Raciąż,52.7811,20.1194,mazowieckie
Racibórz,50.0908,18.2200,śląskie
Radków,50.5039,16.4008,dolnośląskie
Radlin,50.0467,18.4546,śląskie
Radłów,50.0831,20.8478,małopolskie
Radom,51.4008,21.1533,mazowieckie
Radomsko,51.0675,19.4444,łódzkie
Radomyśl Wielki,50.1960,21.2780,podkarpackie
Radoszyce,51.0744,20.2551,świętokrzyskie
Radymno,49.9516,22.8186,podkarpackie
Radziejów,52.6230,18.5272,kujawsko-pomorskie
Radzionków,50.4003,18.9033,śląskie
Radzymin,52.4183,21.1812,mazowieckie
Radzyń Chełmiński,53.3849,18.9361,kujawsko-pomorskie
Radzyń Podlaski,51.7850,22.6190,lubelskie
Rajgród,53.7308,22.6983,podlaskie
Rakoniewice,52.1386,16.2733,wielkopolskie
Raszków,51.7185,17.7260,wielkopolskie
Rawa Mazowiecka,51.7650,20.2522,łódzkie
Rawicz,51.6094,16.8584,wielkopolskie
Recz,53.2598,15.5465,zachodniopomorskie
Reda,54.6033,18.3492,pomorskie
Rejowiec,51.0942,23.2833,lubelskie
Rejowiec Fabryczny,51.1213,23.2434,lubelskie
Resko,53.7725,15.4067,zachodniopomorskie
Reszel,54.0504,21.1454,warmińsko-mazurskie
Rogoźno,52.7523,16.9917,wielkopolskie
Ropczyce,50.0529,21.6110,podkarpackie
Różan,52.8908,21.3994,mazowieckie
Ruciane-Nida,53.6418,21.5371,warmińsko-mazurskie
Ruda Śląska,50.2806,18.8592,śląskie
Rudnik nad Sanem,50.4416,22.2466,podkarpackie
Rumia,54.5642,18.3889,pomorskie
Rybnik,50.0947,18.5422,śląskie
Rychwał,52.0700,18.1663,wielkopolskie
Rydułtowy,50.0581,18.4178,śląskie
Rydzyna,51.7867,16.6672,wielkopolskie
Ryglice,49.8792,21.1383,małopolskie
Ryki,51.6258,21.9341,lubelskie
Rymanów,49.5762,21.8676,podkarpackie
Ryn,53.9388,21.5466,warmińsko-mazurskie
Rypin,53.0659,19.4130,kujawsko-pomorskie
Rzepin,52.3482,14.8270,lubuskie
Rzeszów,50.0411,21.9991,podkarpackie
Rzgów,51.6630,19.4901,łódzkie
Sandomierz,50.6793,21.7496,świętokrzyskie
Sanniki,52.3319,19.8621,mazowieckie
Sanok,49.5599,22.2022,podkarpackie
Sejny,54.1064,23.3497,podlaskie
Serock,52.5137,21.0705,mazowieckie
Sędziszów,50.5634,20.0520,świętokrzyskie
Sędziszów Małopolski,50.0710,21.7020,podkarpackie
Sępopol,54.2681,21.0149,warmińsko-mazurskie
Sępólno Krajeńskie,53.4557,17.5370,kujawsko-pomorskie
Sianów,54.2254,16.2968,zachodniopomorskie
Siechnice,51.0336,17.1469,dolnośląskie
Siedlce,52.1658,22.2769,mazowieckie
Siedliszcze,51.1952,23.1644,lubelskie
Siemianowice Śląskie,50.3025,19.0336,śląskie
Siemiatycze,52.4297,22.8650,podlaskie
Sieniawa,50.1778,22.6096,podkarpackie
Sieradz,51.5961,18.7322,łódzkie
Sieraków,52.6496,16.0822,wielkopolskie
Sierpc,52.8542,19.6686,mazowieckie
Siewierz,50.4694,19.2364,śląskie
Skalbmierz,50.3175,20.3978,świętokrzyskie
Skała,50.2304,19.8541,małopolskie
Skarszewy,54.0711,18.4403,pomorskie
Skaryszew,51.3102,21.2519,mazowieckie
Skarżysko-Kamienna,51.1155,20.8952,świętokrzyskie
Skawina,49.9750,19.8264,małopolskie
Skępe,52.8668,19.3578,kujawsko-pomorskie
Skierniewice,51.9586,20.1411,łódzkie
Skoczów,49.8019,18.7875,śląskie
Skoki,52.6735,17.1591,wielkopolskie
Skórcz,53.7939,18.5250,pomorskie
Skwierzyna,52.5974,15.5033,lubuskie
Sława,51.8806,16.0717,lubuskie
Sławków,50.2983,19.3883,śląskie
Sławno,54.3580,16.6776,zachodniopomorskie
Słomniki,50.2399,20.0821,małopolskie
Słubice,52.3561,14.5661,lubuskie
Słupca,52.2893,17.8726,wielkopolskie
Słupsk,54.4656,17.0372,pomorskie
Sobótka,50.8996,16.7445,dolnośląskie
Sochaczew,52.2297,20.2379,mazowieckie
Sochocin,52.6873,20.4722,mazowieckie
Sokołów Małopolski,50.2303,22.1200,podkarpackie
Sokołów Podlaski,52.4079,22.2501,mazowieckie
Sokółka,53.4072,23.5039,podlaskie
Solec Kujawski,53.0809,18.2264,kujawsko-pomorskie
Solec nad Wisłą,51.1349,21.7651,mazowieckie
Sompolno,52.3889,18.5027,wielkopolskie
Sopot,54.4453,18.5608,pomorskie
Sosnowiec,50.2789,19.1294,śląskie
Sośnicowice,50.2723,18.5297,śląskie
Stalowa Wola,50.5685,22.0655,podkarpackie
Starachowice,51.0533,21.0702,świętokrzyskie
Stargard,53.3392,15.0411,zachodniopomorskie
Starogard Gdański,53.9681,18.5308,pomorskie
Stary Sącz,49.5642,20.6349,małopolskie
Staszów,50.5642,21.1674,świętokrzyskie
Stawiski,53.3794,22.1558,podlaskie
Stawiszyn,51.9176,18.1116,wielkopolskie
Stąporków,51.1380,20.5643,świętokrzyskie
Stepnica,53.6523,14.6283,zachodniopomorskie
Stęszew,52.2806,16.7034,wielkopolskie
Stoczek Łukowski,51.9615,21.9694,lubelskie
Stopnica,50.4397,20.9394,świętokrzyskie
Stronie Śląskie,50.2988,16.8736,dolnośląskie
Strumień,49.9171,18.7634,śląskie
Stryków,51.9016,19.6048,łódzkie
Strzegom,50.9602,16.3466,dolnośląskie
Strzelce Krajeńskie,52.8786,15.5328,lubuskie
Strzelce Opolskie,50.5110,18.3005,opolskie
Strzelin,50.7808,17.0708,dolnośląskie
Strzelno,52.6280,18.1725,kujawsko-pomorskie
Strzyżów,49.8703,21.7867,podkarpackie
Sucha Beskidzka,49.7403,19.5875,małopolskie
Suchań,53.2800,15.3174,zachodniopomorskie
Suchedniów,51.0447,20.8364,świętokrzyskie
Suchowola,53.5783,23.1064,podlaskie
Sulechów,52.0854,15.6230,lubuskie
Sulejów,51.3542,19.8849,łódzkie
Sulejówek,52.2432,21.2777,mazowieckie
Sulęcin,52.4420,15.1145,lubuskie
Sulmierzyce,51.6061,17.5307,wielkopolskie
Sułkowice,49.8411,19.8015,małopolskie
Supraśl,53.2053,23.3375,podlaskie
Suraż,52.9500,22.9558,podlaskie
Susz,53.7184,19.3388,warmińsko-mazurskie
Suwałki,54.1019,22.9269,podlaskie
Swarzędz,52.4101,17.0774,wielkopolskie
Syców,51.3095,17.7205,dolnośląskie
Szadek,51.6918,18.9755,łódzkie
Szamocin,53.0289,17.1217,wielkopolskie
Szamotuły,52.6117,16.5786,wielkopolskie
Szczawnica,49.4252,20.4828,małopolskie
Szczawno-Zdrój,50.8004,16.2509,dolnośląskie
Szczebrzeszyn,50.6950,22.9783,lubelskie
Szczecin,53.4318,14.5468,zachodniopomorskie
Szczecinek,53.7027,16.7006,zachodniopomorskie
Szczekociny,50.6258,19.8181,śląskie
Szczucin,50.3093,21.0764,małopolskie
Szczuczyn,53.5634,22.2851,podlaskie
Szczyrk,49.7119,19.0192,śląskie
Szczytna,50.4155,16.4440,dolnośląskie
Szczytno,53.5633,20.9952,warmińsko-mazurskie
Szepietowo,52.8689,22.5453,podlaskie
Szklarska Poręba,50.8298,15.5189,dolnośląskie
Szlichtyngowa,51.7119,16.2424,lubuskie
Szprotawa,51.5659,15.5380,lubuskie
Sztum,53.9192,19.0328,pomorskie
Szubin,53.0075,17.7335,kujawsko-pomorskie
Szydłowiec,51.2241,20.8573,mazowieckie
Szydłów,50.5908,21.0065,świętokrzyskie
Ścinawa,51.4128,16.4262,dolnośląskie
Ślesin,52.3704,18.3064,wielkopolskie
Śmigiel,52.0121,16.5252,wielkopolskie
Śrem,52.0954,17.0205,wielkopolskie
Środa Śląska,51.1633,16.5977,dolnośląskie
Środa Wielkopolska,52.2290,17.2751,wielkopolskie
Świątniki Górne,49.9343,19.9536,małopolskie
Świdnica,50.8427,16.4872,dolnośląskie
Świdnik,51.2201,22.7004,lubelskie
Świdwin,53.7747,15.7742,zachodniopomorskie
Świebodzice,50.8598,16.3199,dolnośląskie
Świebodzin,52.2479,15.5360,lubuskie
Świecie,53.4094,18.4472,kujawsko-pomorskie
Świeradów-Zdrój,50.9092,15.3320,dolnośląskie
Świerzawa,51.0145,15.8933,dolnośląskie
Świętochłowice,50.2919,18.9150,śląskie
Świnoujście,53.9078,14.2475,zachodniopomorskie
Tarczyn,51.9801,20.8340,mazowieckie
Tarnobrzeg,50.5701,21.6705,podkarpackie
Tarnogród,50.3607,22.7420,lubelskie
Tarnowskie Góry,50.4457,18.8559,śląskie
Tarnów,50.0125,20.9884,małopolskie
Tczew,54.0881,18.7994,pomorskie
Terespol,52.0760,23.6160,lubelskie
Tłuszcz,52.4299,21.4352,mazowieckie
Tolkmicko,54.3202,19.5272,warmińsko-mazurskie
Tomaszów Lubelski,50.4511,23.4159,lubelskie
Tomaszów Mazowiecki,51.5304,20.0097,łódzkie
Toruń,53.0130,18.6057,kujawsko-pomorskie
Torzym,52.3140,15.0725,lubuskie
Toszek,50.4547,18.5199,śląskie
Trzcianka,53.0400,16.4605,wielkopolskie
Trzciel,52.3654,15.8754,lubuskie
Trzcińsko-Zdrój,52.9666,14.6065,zachodniopomorskie
Trzebiatów,54.0632,15.2660,zachodniopomorskie
Trzebinia,50.1584,19.4729,małopolskie
Trzebnica,51.3084,17.0619,dolnośląskie
Trzemeszno,52.5607,17.8220,wielkopolskie
Tuchola,53.5883,17.8616,kujawsko-pomorskie
Tuchów,49.8950,21.0544,małopolskie
Tuczno,53.1944,16.1538,zachodniopomorskie
Tuliszków,52.0774,18.2936,wielkopolskie
Tułowice,50.5936,17.6544,opolskie
Turek,52.0156,18.5016,wielkopolskie
Tuszyn,51.6039,19.5439,łódzkie
Twardogóra,51.3654,17.4678,dolnośląskie
Tychowo,53.9296,16.2591,zachodniopomorskie
Tychy,50.1283,18.9816,śląskie
Tyczyn,49.9640,22.0302,podkarpackie
Tykocin,53.2064,22.7731,podlaskie
Tyszowce,50.6171,23.7061,lubelskie
Ujazd,50.3894,18.3500,opolskie
Ujście,53.0530,16.7326,wielkopolskie
Ulanów,50.4911,22.2673,podkarpackie
Uniejów,51.9751,18.7941,łódzkie
Urzędów,50.9922,22.1429,lubelskie
Ustka,54.5847,16.8571,pomorskie
Ustroń,49.7203,18.8120,śląskie
Ustrzyki Dolne,49.4300,22.5869,podkarpackie
Wadowice,49.8831,19.4929,małopolskie
Wałbrzych,50.7672,16.2827,dolnośląskie
Wałcz,53.2730,16.4674,zachodniopomorskie
Warka,51.7844,21.1889,mazowieckie
Warszawa,52.2319,21.0067,mazowieckie
Warta,51.7069,18.6244,łódzkie
Wasilków,53.1989,23.2072,podlaskie
Wąbrzeźno,53.2800,18.9471,kujawsko-pomorskie
Wąchock,51.0740,21.0104,świętokrzyskie
Wągrowiec,52.8068,17.2006,wielkopolskie
Wąsosz,51.5646,16.6935,dolnośląskie
Wejherowo,54.6017,18.2383,pomorskie
Węgliniec,51.2861,15.2233,dolnośląskie
Węgorzewo,54.2142,21.7409,warmińsko-mazurskie
Węgorzyno,53.5410,15.5594,zachodniopomorskie
Węgrów,52.3989,22.0173,mazowieckie
Wiązów,50.8138,17.2011,dolnośląskie
Wielbark,53.3983,20.9470,warmińsko-mazurskie
Wieleń,52.8886,16.1679,wielkopolskie
Wielichowo,52.1175,16.3497,wielkopolskie
Wieliczka,49.9847,20.0621,małopolskie
Wieluń,51.2210,18.5706,łódzkie
Wieruszów,51.2950,18.1550,łódzkie
Więcbork,53.3547,17.4896,kujawsko-pomorskie
Wilamowice,49.9163,19.1527,śląskie
Wiskitki,52.0869,20.3832,mazowieckie
Wisła,49.6542,18.8608,śląskie
Wiślica,50.3488,20.6741,świętokrzyskie
Witkowo,52.4401,17.7727,wielkopolskie
Witnica,52.6738,14.8962,lubuskie
Wleń,51.0169,15.6742,dolnośląskie
Władysławowo,54.7901,18.4088,pomorskie
Włocławek,52.6572,19.0633,kujawsko-pomorskie
Włodawa,51.5444,23.5540,lubelskie
Włoszczowa,50.8515,19.9692,świętokrzyskie
Wodzisław,50.5207,20.1917,świętokrzyskie
Wodzisław Śląski,50.0028,18.4631,śląskie
Wojcieszów,50.9508,15.9223,dolnośląskie
Wojkowice,50.3629,19.0446,śląskie
Wojnicz,49.9578,20.8375,małopolskie
Wolbórz,51.5051,19.8300,łódzkie
Wolbrom,50.3853,19.7600,małopolskie
Wolin,53.8415,14.6134,zachodniopomorskie
Wolsztyn,52.1146,16.1166,wielkopolskie
Wołczyn,51.0181,18.0501,opolskie
Wołomin,52.3451,21.2458,mazowieckie
Wołów,51.3365,16.6460,dolnośląskie
Woźniki,50.5869,19.0600,śląskie
Wrocław,51.1100,17.0320,dolnośląskie
Wronki,52.7082,16.3785,wielkopolskie
Września,52.3258,17.5654,wielkopolskie
Wschowa,51.8041,16.3168,lubuskie
Wyrzysk,53.1532,17.2670,wielkopolskie
Wysoka,53.1817,17.0797,wielkopolskie
Wysokie Mazowieckie,52.9200,22.5136,podlaskie
Wyszków,52.5959,21.4518,mazowieckie
Wyszogród,52.3889,20.1914,mazowieckie
Wyśmierzyce,51.6252,20.8179,mazowieckie
Zabłudów,53.0150,23.3339,podlaskie
Zabrze,50.3000,18.7889,śląskie
Zagórów,52.1683,17.8953,wielkopolskie
Zagórz,49.5124,22.2651,podkarpackie
Zakliczyn,49.8561,20.8097,małopolskie
Zaklików,50.7559,22.1020,podkarpackie
Zakopane,49.2969,19.9500,małopolskie
Zakroczym,52.4333,20.6117,mazowieckie
Zalewo,53.8450,19.6058,warmińsko-mazurskie
Zambrów,52.9814,22.2444,podlaskie
Zamość,50.7161,23.2547,lubelskie
Zator,49.9961,19.4369,małopolskie
Zawadzkie,50.6060,18.4825,opolskie
Zawichost,50.8061,21.8596,świętokrzyskie
Zawidów,51.0241,15.0635,dolnośląskie
Zawiercie,50.4878,19.4258,śląskie
Ząbki,52.2908,21.1125,mazowieckie
Ząbkowice Śląskie,50.5888,16.8127,dolnośląskie
Zbąszynek,52.2462,15.8159,lubuskie
Zbąszyń,52.2532,15.9188,wielkopolskie
Zduny,51.6452,17.3757,wielkopolskie
Zduńska Wola,51.6019,18.9340,łódzkie
Zdzieszowice,50.4243,18.1250,opolskie
Zelów,51.4643,19.2200,łódzkie
Zgierz,51.8562,19.4062,łódzkie
Zgorzelec,51.1497,15.0067,dolnośląskie
Zielona Góra,51.9392,15.5038,lubuskie
Zielonka,52.3082,21.1584,mazowieckie
Ziębice,50.6003,17.0411,dolnośląskie
Złocieniec,53.5305,16.0117,zachodniopomorskie
Złoczew,51.4181,18.6058,łódzkie
Złotoryja,51.1247,15.9158,dolnośląskie
Złotów,53.3631,17.0388,wielkopolskie
Złoty Stok,50.4430,16.8735,dolnośląskie
Zwierzyniec,50.6140,22.9715,lubelskie
Zwoleń,51.3564,21.5842,mazowieckie
Żabno,50.1333,20.8862,małopolskie
Żagań,51.6154,15.3133,lubuskie
Żarki,50.6258,19.3658,śląskie
Żarów,50.9425,16.4934,dolnośląskie
Żary,51.6357,15.1382,lubuskie
Żelechów,51.8096,21.8957,mazowieckie
Żerków,52.0684,17.5633,wielkopolskie
Żmigród,51.4710,16.9077,dolnośląskie
Żnin,52.8496,17.7208,kujawsko-pomorskie
Żory,50.0453,18.6942,śląskie
Żukowo,54.3460,18.3644,pomorskie
Żuromin,53.0662,19.9097,mazowieckie
Żychlin,52.2439,19.6264,łódzkie
Żyrardów,52.0568,20.4484,mazowieckie
Żywiec,49.6781,19.1881,śląskie
